project,platform,signature,series,testrun_id,push_timestamp,change,percent change,t-value,revision
mozilla-inbound,windows7-32,0c5e3c26c09e7fc4dd98433041bb2123221c164a,v8_7 summary opt,15856,1434034190,-87.55,5.41886607159,10.6215561019,8c6a7d5efe3a
mozilla-inbound,linux64,8d03711ed5a2816fb76e2b861c7d6658c434c1a2,tp5o summary pgo,15667,1433748572,-8.175,3.2655479696,10.0156437008,e03144903268
mozilla-inbound,linux64,8d03711ed5a2816fb76e2b861c7d6658c434c1a2,tp5o summary pgo,15756,1433924580,-6.9525,2.87096652088,9.404631307,9fcacf4a76ca
mozilla-inbound,linux64,8d03711ed5a2816fb76e2b861c7d6658c434c1a2,tp5o summary pgo,15987,1434352113,5.32166666667,2.26979495072,8.33022563244,85383f7a9d53
mozilla-inbound,linux64,8d03711ed5a2816fb76e2b861c7d6658c434c1a2,tp5o summary pgo,16277,1434786293,3.82,1.59333191982,7.36712013662,5081a6d1bd38
mozilla-inbound,linux64,8d03711ed5a2816fb76e2b861c7d6658c434c1a2,tp5o summary pgo,16430,1435302523,-5.665,2.31675232084,8.53136958692,b24f2c2f49c5
mozilla-inbound,linux64,5423071f6bfb22895118976d676f4ecb04a91e1e,sessionrestore_no_auto_restore summary pgo,13679,1429614397,-40.7966666667,6.32867865112,10.7663366831,ef334b744581
mozilla-inbound,linux64,5423071f6bfb22895118976d676f4ecb04a91e1e,sessionrestore_no_auto_restore summary pgo,16111,1434503904,-19.7058333333,3.01771553561,8.6098654861,28bbcf8f9e1a
mozilla-inbound,windowsxp,3c9e23c9dc95a2a44e758999a86b60853b429275,glterrain summary opt,15564,1433452799,-1.3225,5.86236193713,7.17483416431,c4d1692d88ee
mozilla-inbound,osx-10-6,b00a3833069a975bd8d0f990d98ee7c8ef479ff3,tscrollx summary opt,12767,1427896014,-0.136666666667,2.00219753388,8.02291863401,b4efb3f1976f
mozilla-inbound,osx-10-6,b00a3833069a975bd8d0f990d98ee7c8ef479ff3,tscrollx summary opt,12850,1428001410,0.31,4.67512881739,31.1974664609,52691dffa026
mozilla-inbound,windows8-64,85c1fd6fbcb9d21278e42ba407cbabd8e2c139c6,tpaint summary pgo,14308,1430834636,7.065,4.32696724407,7.1061622511,e3d3f273cf88
mozilla-inbound,linux64,0aba8dc69a91eadb973351dd8ad5281c7a62fddd,tsvgx summary opt,15987,1434352113,13.7433333333,4.57353936261,13.7986396197,85383f7a9d53
mozilla-inbound,linux64,0aba8dc69a91eadb973351dd8ad5281c7a62fddd,tsvgx summary opt,16430,1435302523,-14.0975,4.51447449884,14.2480831143,b24f2c2f49c5
mozilla-inbound,linux64,0aba8dc69a91eadb973351dd8ad5281c7a62fddd,tsvgx summary opt,17238,1436976580,-8.02666666667,2.63202479,9.03020836955,3bc7de3b8891
mozilla-inbound,linux32,3a3c00b2b0388b6c8fc356c2708602d089a502d8,tart summary pgo,15987,1434352113,2.02416666667,50.1548626884,33.5896484707,85383f7a9d53
mozilla-inbound,linux32,3a3c00b2b0388b6c8fc356c2708602d089a502d8,tart summary pgo,16430,1435302523,-1.92416666667,31.8790556399,70.8722713558,b24f2c2f49c5
mozilla-inbound,linux32,3a3c00b2b0388b6c8fc356c2708602d089a502d8,tart summary pgo,17243,1436981340,0.0783333333333,1.88679245283,7.99558419036,b3ced16835c7
mozilla-inbound,windows8-64,9681e921b531333a04976dd2036de3d2ee686780,tpaint summary opt,14309,1430838859,5.62833333333,2.57977280887,8.60876756112,f58f60cd772c
mozilla-inbound,windows8-64,9681e921b531333a04976dd2036de3d2ee686780,tpaint summary opt,16425,1435291266,-2.53083333333,1.13525919945,7.31044132659,988513dad2e9
