Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Customization Animation Tests	2015-04-02 13:06:40	-16.8%	52979d819dc2
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Tab Animation Test	2015-04-02 13:06:46	-22.7%	52979d819dc2
Fx-Team-Non-PGO	WINNT 5.1 (ix)	WEBGL Terrain	2015-04-02 13:30:58	+3.66%	52979d819dc2
Fx-Team-Non-PGO	WINNT 6.2 x64	Customization Animation Tests	2015-04-02 13:31:06	-9.57%	7126c724dfbb
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Tab Animation Test	2015-04-02 13:34:26	-9.92%	283d8666043f
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Customization Animation Tests	2015-04-02 14:35:25	-4.68%	52979d819dc2
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Tp5 No Network Row Major MozAfterPaint (Non-Main Startup File IO Bytes)	2015-04-02 15:05:57	+12.5%	7126c724dfbb
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Session Restore no Auto Restore Test	2015-04-02 17:06:42	-4.2%	63c87250946e
Mozilla-Beta	WINNT 6.1 (ix)	Tp5 Optimized Responsiveness	2015-04-02 17:33:04	-15.1%	4df54044d9ef
Mozilla-Beta	WINNT 6.1 (ix)	Tp5 Optimized	2015-04-02 17:33:18	-5.18%	4df54044d9ef
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Tp5 No Network Row Major MozAfterPaint (Non-Main Startup File IO Bytes)	2015-04-02 18:32:23	+11.1%	63c87250946e
Mozilla-Aurora	Ubuntu HW 12.04	Session Restore Test	2015-04-02 18:35:52	-2.51%	8ac636cd51f3
Mozilla-Aurora	WINNT 6.2 x64	Kraken Benchmark	2015-04-02 19:05:38	-2.18%	8ac636cd51f3
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Session Restore no Auto Restore Test	2015-04-02 21:31:50	+10.4%	40cbc1892b3a
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-04-02 21:31:53	+4.27%	40cbc1892b3a
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Tp5 Optimized	2015-04-02 21:32:48	-3.33%	40cbc1892b3a
Mozilla-Inbound	Ubuntu HW 12.04 x64	Customization Animation Tests	2015-04-02 22:04:09	-15.3%	98ea146e6f51
Mozilla-Inbound	Ubuntu HW 12.04 x64	Tab Animation Test	2015-04-02 22:04:15	-18.8%	98ea146e6f51
Mozilla-Inbound	Ubuntu HW 12.04	WEBGL Terrain	2015-04-02 22:33:47	+4.26%	98ea146e6f51
Mozilla-Inbound	Ubuntu HW 12.04	Customization Animation Tests	2015-04-02 22:35:17	-17.6%	98ea146e6f51
Mozilla-Inbound	Ubuntu HW 12.04	Tab Animation Test	2015-04-02 22:35:22	-21.4%	98ea146e6f51
Mozilla-Inbound	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-04-02 22:36:12	+5.03%	98ea146e6f51
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Customization Animation Tests	2015-04-02 23:01:17	+14.4%	52691dffa026
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Tab Animation Test	2015-04-02 23:01:24	+17.7%	52691dffa026
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	Customization Animation Tests	2015-04-02 23:03:37	+18.4%	52691dffa026
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	Tab Animation Test	2015-04-02 23:03:43	+20.9%	52691dffa026
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-04-02 23:03:50	-4.22%	52691dffa026
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-04-02 23:06:12	-5.6%	52691dffa026
Fx-Team-Non-PGO	WINNT 6.2 x64	Session Restore no Auto Restore Test	2015-04-02 23:32:34	+5.27%	40cbc1892b3a
Fx-Team-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-04-02 23:32:37	+2.78%	40cbc1892b3a
Mozilla-Inbound-Non-PGO	WINNT 5.1 (ix)	WEBGL Terrain	2015-04-03 00:32:23	-4.16%	52691dffa026
Mozilla-Inbound-Non-PGO	WINNT 5.1 (ix)	TP5 Scroll	2015-04-03 00:32:25	+3.03%	52691dffa026
Mozilla-Inbound-Non-PGO	WINNT 5.1 (ix)	Tab Animation Test	2015-04-03 00:33:43	+9.75%	52691dffa026
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Customization Animation Tests	2015-04-03 01:04:16	+5.71%	52691dffa026
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Tab Animation Test	2015-04-03 01:04:20	+9.87%	52691dffa026
Mozilla-Inbound	MacOSX 10.6 (rev4)	tscroll-ASAP	2015-04-03 01:30:41	-4.1%	9a931cd178a7
Mozilla-Inbound-Non-PGO	WINNT 6.2 x64	Customization Animation Tests	2015-04-03 02:04:21	+7.88%	52691dffa026
Mozilla-Inbound-Non-PGO	WINNT 6.2 x64	tscroll-ASAP	2015-04-03 02:04:28	-6.17%	52691dffa026
Firefox-Non-PGO	WINNT 6.1 (ix)	Customization Animation Tests	2015-04-03 02:34:17	-5.7%	e5b72a8edb82
Mozilla-Inbound-Non-PGO	WINNT 6.2 x64	Tab Animation Test	2015-04-03 02:35:28	+8.49%	afe401fb6901
Firefox-Non-PGO	Ubuntu HW 12.04	Customization Animation Tests	2015-04-03 04:06:38	-19.5%	37ddc5e2eb72
Firefox-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-04-03 04:33:53	+3.51%	37ddc5e2eb72
Firefox-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-04-03 05:02:00	+4.6%	37ddc5e2eb72
Mozilla-Inbound	WINNT 6.1 (ix)	Customization Animation Tests	2015-04-03 05:02:13	-7.04%	98ea146e6f51
