testtype,totaljobs,total_runtime,avg_runtime,avg_greentime,%% green
mochitest-devtools-chrome-1,76,154957,2038,2038,1.0
mochitest-devtools-chrome-2,77,132008,1714,1714,1.0
mochitest-devtools-chrome-3,76,143614,1889,1879,0.973684210526
jittest-2,76,359705,4732,4732,1.0
mochitest-e10s-2,76,225732,2970,2944,0.921052631579
mochitest-devtools-chrome-8,76,142310,1872,1870,0.986842105263
crashtest-e10s,76,90289,1188,1181,0.855263157895
web-platform-tests-reftests,16,44512,2782,3360,0.0625
xpcshell-1,76,200983,2644,2644,1.0
mochitest-e10s-browser-chrome-7,76,168985,2223,2208,0.631578947368
web-platform-tests-3,76,379750,4996,4997,0.973684210526
xpcshell-2,75,409341,5457,5457,1.0
reftest-1,76,176883,2327,2327,1.0
mochitest-gl,76,62239,818,818,1.0
web-platform-tests-e10s-3,76,396259,5213,5866,0.671052631579
reftest-4,76,172083,2264,2264,1.0
mochitest-2,76,200548,2638,2638,1.0
mochitest-3,76,202318,2662,2662,0.986842105263
mochitest-1,76,162811,2142,2142,1.0
mochitest-6,66,87299,1322,1315,0.969696969697
mochitest-7,76,206422,2716,2716,1.0
mochitest-4,76,280455,3690,3673,0.894736842105
jittest-1,76,398746,5246,5247,0.986842105263
mochitest-8,76,115962,1525,1525,1.0
mochitest-5,51,156976,3077,3077,1.0
mochitest-push,76,16083,211,211,1.0
mochitest-e10s-3,76,179442,2361,2361,1.0
mochitest-e10s-browser-chrome-3,76,159451,2098,2102,0.986842105263
web-platform-tests-e10s-4,76,110801,1457,1457,0.986842105263
web-platform-tests-e10s-6,76,161935,2130,2130,1.0


